regime,model,n_observations,qlike,mse,rmse,mae,mean_forecast,mean_proxy,bias_volatility,forecast_std,max_forecast,p99_forecast,max_proxy,tail_reach,mz_intercept,mz_slope,mz_r2,r2_oos
Recovery Rally,"GJR-GARCH(1,1,1)",422.0,1.4502354293321078,6.216000525620682,2.493190832170831,1.068484226415974,1.1073327329225393,0.9937442683495521,0.2001330384362151,1.4081003578096127,15.918576508426515,6.434222125281676,35.25174838033065,0.4515684253921593,0.7472937818982377,0.22256226978937715,0.019191074921084517,-0.21750400148916182
Recovery Rally,LSTM (QLIKE),422.0,1.4709521710329052,4.972147144022946,2.2298311918221403,0.8554725631435814,0.7394224239327897,0.9937442683495521,0.06794946037745497,0.5250756985546903,2.426271677017212,2.211989130973816,35.25174838033065,0.06882698840466574,0.3578095035531786,0.8600425740593678,0.039848569720653204,0.02612475354699606
Recovery Rally,LSTM (MSE),422.0,1.4680046069221453,4.935487082940437,2.2215956164298754,0.8691326660685522,0.785893551440318,0.9937442683495521,0.09199351710851711,0.5649992193741326,3.045600175857544,2.4836718273162846,35.25174838033065,0.08639571980937238,0.3376844154733968,0.8347948035376864,0.043469452388843255,0.03330521804001263
Rate-Hike Cycle,"GARCH(1,1)",251.0,1.4110162259096537,13.957142798966753,3.73592596272554,2.497768577960227,2.2668609636579724,2.3324052720753286,0.2513265672588907,1.3106350109812166,8.173234703774213,6.531498630231381,28.621973736863342,0.28555803939012037,2.1041586275098942,0.1006884181362051,0.001378113683333071,-0.10890084276770917
Rate-Hike Cycle,"EGARCH(1,1)",251.0,1.3893223300043194,13.728245292090161,3.7051646781337753,2.4138005534149665,2.180549019328836,2.3324052720753286,0.22036097436611302,1.2930752543083108,8.317528724858702,6.6315980819053895,28.621973736863342,0.29059941153346236,1.9745216922565556,0.16412544576912466,0.0035641987820703713,-0.0907148399490183
Rate-Hike Cycle,"GJR-GARCH(1,1,1)",251.0,1.4295975427150027,14.786176696969866,3.8452797943673573,2.5510763004405956,2.4109327331138584,2.3324052720753286,0.2736494813806909,1.7083200675284864,10.02180149969252,8.439013699400153,28.621973736863342,0.35014362013703676,2.03663576319463,0.12267845751909248,0.003475662334737395,-0.17476793329047058
Rate-Hike Cycle,LSTM (QLIKE),251.0,1.3064113288174666,12.545844902465522,3.542011420431267,2.216737504948603,2.075783119021184,2.3324052720753286,0.20869488189814378,0.8531618702590701,4.4061455726623535,4.203877687454224,28.621973736863342,0.15394275786744605,1.142082179499774,0.5734332655797101,0.018940486093632858,0.0032273663770999717
Rate-Hike Cycle,LSTM (MSE),251.0,1.3640366599385703,12.880719777439326,3.5889719666555386,2.1566422806076697,1.7701036927709541,2.3324052720753286,0.10744325207974548,0.6644143002641454,4.0409111976623535,3.8211687803268433,28.621973736863342,0.1411821293252711,1.4032116484856754,0.5249373962578856,0.009626212551572366,-0.023378582736473197
Post-Hike Normalisation,"GARCH(1,1)",752.0,1.567387026044181,16.493740714088027,4.061248664399661,1.0754383967932715,0.9945596135817625,0.9317609356849981,0.23868832600583623,1.809821551818977,25.028657551290976,8.683079465158833,99.7390840373992,0.2509413214774057,0.30014110781652814,0.6350748806235785,0.07593754842555434,0.050637097407822074
Post-Hike Normalisation,"EGARCH(1,1)",752.0,1.510158195065603,15.078892616119447,3.883154982243105,0.9937038693377104,0.9084555615479001,0.9317609356849981,0.22179523913474608,1.0897066652996297,12.971895063282538,6.124337240270046,99.7390840373992,0.13005829348120404,-0.4015711982999496,1.4676910907046556,0.14703601404836542,0.1320743117001012
Post-Hike Normalisation,"GJR-GARCH(1,1,1)",752.0,1.522343197551564,14.93197648722303,3.864191569684794,1.0338373376192587,0.9721257598395868,0.9317609356849981,0.22580427826601213,1.6040088743913843,18.128026331259825,9.288997230266439,99.7390840373992,0.18175448978920192,-0.01647489703485844,0.9754250652470393,0.14071375312771628,0.14053065432027922
Post-Hike Normalisation,LSTM (QLIKE),752.0,1.5994901589413135,16.883429822127987,4.108945098456292,0.9666742137746814,0.7934146328888675,0.9317609356849981,0.17881331203398287,0.556864861076962,3.134100914001465,2.2361436820030214,99.7390840373992,0.0314229967544746,-0.1172221164822385,1.3221120567789755,0.031158127515989342,0.028206989579015573
Post-Hike Normalisation,LSTM (MSE),752.0,1.5890565990427572,16.641978434273692,4.079458105468628,0.9412258879598258,0.7585772652119557,0.9317609356849981,0.16879322510030104,0.5101481132628936,2.6883294582366943,2.469637217521668,99.7390840373992,0.026953620881746323,-0.5588082700997898,1.9649537023342032,0.0577606942204939,0.04210468534020029
Full sample,"GARCH(1,1)",1760.0,1.4900420475616696,27.906332134882327,5.28264442631551,1.60279746197611,1.5505052411629767,1.562121711665607,0.22909261437557427,3.79302594825784,69.22435818733342,18.073367094323274,134.27110623804282,0.5155566236611536,0.19138851403735266,0.8840558298275194,0.28851478267016395,0.28354874969115473
Full sample,"EGARCH(1,1)",1760.0,1.4715002379304998,28.710614968307237,5.358228715565176,1.503647136943885,1.307939829618558,1.562121711665607,0.1820091233421487,2.414451633810299,47.37099480190697,9.187126014880633,134.27110623804282,0.35280110612870946,-0.24850857384250138,1.3843376006342385,0.28665406718500364,0.2629000510795251
Full sample,"GJR-GARCH(1,1,1)",1760.0,1.4745500639261173,28.71545847990577,5.358680665976073,1.602772796171384,1.6092112297654864,1.562121711665607,0.2213664507499653,4.520779296282042,90.72321405284063,16.002092359289385,134.27110623804282,0.6756719043634137,0.35424353709005724,0.7506026258290381,0.2954498863322662,0.26277570152603014
Full sample,LSTM (QLIKE),1760.0,1.6450469151050922,37.56165230751236,6.128756179479843,1.4882952797951863,0.9528778438117694,1.562121711665607,0.0881857772966933,0.772355986260784,4.4061455726623535,3.5514714074134837,134.27110623804282,0.03281529210648573,-0.3210322993526093,1.9762806148216119,0.05978184484765181,0.03566356806364179
Full sample,LSTM (MSE),1760.0,1.6861542994400534,37.76522594339205,6.1453418085076486,1.4802675007266644,0.907520320977677,1.562121711665607,0.07221578139384544,0.7017599534083876,4.746713161468506,3.053886384963991,134.27110623804282,0.035351709645210526,-0.3796757522902512,2.139673811230969,0.05785079910379143,0.030437134677449462
